timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2025/07/01 20:52:29.156, 0 %, 0 %, 8188 MiB, 9 MiB
2025/07/01 20:52:30.161, 95 %, 49 %, 8188 MiB, 1606 MiB
2025/07/01 20:52:31.161, 99 %, 19 %, 8188 MiB, 1614 MiB
2025/07/01 20:52:32.162, 99 %, 20 %, 8188 MiB, 1614 MiB
2025/07/01 20:52:33.163, 99 %, 21 %, 8188 MiB, 1574 MiB
2025/07/01 20:52:34.163, 99 %, 22 %, 8188 MiB, 1574 MiB
2025/07/01 20:52:35.164, 99 %, 22 %, 8188 MiB, 1574 MiB
2025/07/01 20:52:36.165, 99 %, 22 %, 8188 MiB, 1574 MiB
2025/07/01 20:52:37.167, 99 %, 21 %, 8188 MiB, 1574 MiB
2025/07/01 20:52:38.168, 99 %, 23 %, 8188 MiB, 1574 MiB
2025/07/01 20:52:39.169, 98 %, 24 %, 8188 MiB, 1574 MiB
2025/07/01 20:52:40.170, 99 %, 24 %, 8188 MiB, 1574 MiB
2025/07/01 20:52:41.171, 99 %, 20 %, 8188 MiB, 1574 MiB
2025/07/01 20:52:42.172, 99 %, 22 %, 8188 MiB, 1574 MiB
2025/07/01 20:52:43.172, 99 %, 23 %, 8188 MiB, 1574 MiB
2025/07/01 20:52:44.173, 99 %, 24 %, 8188 MiB, 1574 MiB
2025/07/01 20:52:45.174, 99 %, 24 %, 8188 MiB, 1574 MiB
2025/07/01 20:52:46.176, 99 %, 24 %, 8188 MiB, 1574 MiB
2025/07/01 20:52:47.176, 99 %, 24 %, 8188 MiB, 1574 MiB
2025/07/01 20:52:48.178, 99 %, 24 %, 8188 MiB, 1574 MiB
2025/07/01 20:52:49.178, 99 %, 24 %, 8188 MiB, 1574 MiB
2025/07/01 20:52:50.179, 99 %, 24 %, 8188 MiB, 1574 MiB
2025/07/01 20:52:51.180, 99 %, 25 %, 8188 MiB, 1574 MiB
2025/07/01 20:52:52.181, 99 %, 25 %, 8188 MiB, 1574 MiB
2025/07/01 20:52:53.183, 99 %, 24 %, 8188 MiB, 1574 MiB
2025/07/01 20:52:54.184, 99 %, 24 %, 8188 MiB, 1574 MiB
