timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2025/07/01 20:36:33.441, 0 %, 0 %, 8188 MiB, 9 MiB
2025/07/01 20:36:34.442, 0 %, 0 %, 8188 MiB, 9 MiB
2025/07/01 20:36:35.443, 43 %, 40 %, 8188 MiB, 1550 MiB
2025/07/01 20:36:36.456, 99 %, 18 %, 8188 MiB, 1550 MiB
2025/07/01 20:36:37.456, 99 %, 22 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:38.457, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:39.457, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:40.458, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:41.459, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:42.459, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:43.460, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:44.461, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:45.461, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:46.462, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:47.463, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:48.465, 99 %, 22 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:49.466, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:50.467, 99 %, 22 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:51.468, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:52.470, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:53.470, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:54.471, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:55.472, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:56.472, 99 %, 22 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:57.473, 99 %, 22 %, 8188 MiB, 1274 MiB
