timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2025/07/01 20:32:53.384, 0 %, 0 %, 8188 MiB, 9 MiB
2025/07/01 20:32:54.386, 88 %, 15 %, 8188 MiB, 998 MiB
2025/07/01 20:32:55.387, 53 %, 12 %, 8188 MiB, 744 MiB
2025/07/01 20:32:56.388, 10 %, 9 %, 8188 MiB, 744 MiB
2025/07/01 20:32:57.389, 8 %, 7 %, 8188 MiB, 744 MiB
2025/07/01 20:32:58.391, 10 %, 8 %, 8188 MiB, 744 MiB
2025/07/01 20:32:59.394, 10 %, 8 %, 8188 MiB, 744 MiB
2025/07/01 20:33:00.396, 10 %, 8 %, 8188 MiB, 744 MiB
2025/07/01 20:33:01.397, 9 %, 8 %, 8188 MiB, 744 MiB
2025/07/01 20:33:02.398, 11 %, 9 %, 8188 MiB, 744 MiB
2025/07/01 20:33:03.400, 10 %, 8 %, 8188 MiB, 744 MiB
2025/07/01 20:33:04.402, 9 %, 8 %, 8188 MiB, 744 MiB
2025/07/01 20:33:05.404, 10 %, 8 %, 8188 MiB, 744 MiB
2025/07/01 20:33:06.405, 10 %, 8 %, 8188 MiB, 744 MiB
2025/07/01 20:33:07.407, 10 %, 9 %, 8188 MiB, 744 MiB
2025/07/01 20:33:08.408, 11 %, 9 %, 8188 MiB, 744 MiB
2025/07/01 20:33:09.410, 16 %, 7 %, 8188 MiB, 124 MiB
