timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2025/07/01 20:35:28.073, 0 %, 0 %, 8188 MiB, 9 MiB
2025/07/01 20:35:29.074, 0 %, 0 %, 8188 MiB, 9 MiB
2025/07/01 20:35:30.075, 42 %, 10 %, 8188 MiB, 1548 MiB
2025/07/01 20:35:31.078, 99 %, 18 %, 8188 MiB, 1550 MiB
2025/07/01 20:35:32.079, 99 %, 21 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:33.080, 99 %, 22 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:34.081, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:35.081, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:36.082, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:37.083, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:38.083, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:39.084, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:40.085, 99 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:41.087, 99 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:42.088, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:43.089, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:44.090, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:45.091, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:46.092, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:47.093, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:48.093, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:49.094, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:50.095, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:51.095, 99 %, 23 %, 8188 MiB, 1274 MiB
