timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2025/07/01 20:45:35.828, 0 %, 0 %, 8188 MiB, 9 MiB
2025/07/01 20:45:36.833, 89 %, 34 %, 8188 MiB, 1550 MiB
2025/07/01 20:45:37.834, 88 %, 28 %, 8188 MiB, 1274 MiB
2025/07/01 20:45:38.834, 92 %, 27 %, 8188 MiB, 1274 MiB
2025/07/01 20:45:39.835, 99 %, 25 %, 8188 MiB, 1274 MiB
2025/07/01 20:45:40.836, 98 %, 25 %, 8188 MiB, 1274 MiB
2025/07/01 20:45:41.837, 96 %, 26 %, 8188 MiB, 1274 MiB
2025/07/01 20:45:42.839, 99 %, 25 %, 8188 MiB, 1274 MiB
2025/07/01 20:45:43.840, 99 %, 25 %, 8188 MiB, 1274 MiB
2025/07/01 20:45:44.842, 99 %, 25 %, 8188 MiB, 1274 MiB
2025/07/01 20:45:45.843, 99 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:45:46.844, 99 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:45:47.845, 99 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:45:48.845, 99 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:45:49.846, 99 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:45:50.846, 99 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:45:51.847, 99 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:45:52.848, 98 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:45:53.849, 95 %, 25 %, 8188 MiB, 1274 MiB
2025/07/01 20:45:54.850, 96 %, 25 %, 8188 MiB, 1274 MiB
2025/07/01 20:45:55.852, 94 %, 25 %, 8188 MiB, 1274 MiB
2025/07/01 20:45:56.853, 98 %, 24 %, 8188 MiB, 1274 MiB
