timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2025/07/01 20:36:01.788, 0 %, 0 %, 8188 MiB, 9 MiB
2025/07/01 20:36:02.789, 0 %, 0 %, 8188 MiB, 9 MiB
2025/07/01 20:36:03.790, 90 %, 15 %, 8188 MiB, 1548 MiB
2025/07/01 20:36:04.791, 99 %, 18 %, 8188 MiB, 1550 MiB
2025/07/01 20:36:05.791, 99 %, 20 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:06.793, 99 %, 47 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:07.794, 99 %, 96 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:08.795, 99 %, 21 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:09.796, 99 %, 21 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:10.798, 99 %, 21 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:11.799, 99 %, 22 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:12.801, 99 %, 22 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:13.802, 99 %, 22 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:14.802, 99 %, 22 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:15.803, 99 %, 22 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:16.804, 99 %, 22 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:17.804, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:18.805, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:19.806, 99 %, 22 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:20.806, 99 %, 22 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:21.807, 99 %, 22 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:22.808, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:23.808, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:24.809, 99 %, 22 %, 8188 MiB, 1274 MiB
2025/07/01 20:36:25.810, 99 %, 23 %, 8188 MiB, 1274 MiB
