timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2025/07/01 20:33:18.953, 0 %, 0 %, 8188 MiB, 9 MiB
2025/07/01 20:33:19.955, 0 %, 0 %, 8188 MiB, 9 MiB
2025/07/01 20:33:20.956, 34 %, 18 %, 8188 MiB, 1304 MiB
2025/07/01 20:33:21.999, 87 %, 17 %, 8188 MiB, 1304 MiB
2025/07/01 20:33:23.000, 17 %, 14 %, 8188 MiB, 1036 MiB
2025/07/01 20:33:24.001, 29 %, 23 %, 8188 MiB, 1036 MiB
2025/07/01 20:33:25.003, 27 %, 21 %, 8188 MiB, 1036 MiB
2025/07/01 20:33:26.006, 26 %, 21 %, 8188 MiB, 1036 MiB
2025/07/01 20:33:27.007, 28 %, 22 %, 8188 MiB, 1036 MiB
2025/07/01 20:33:28.009, 26 %, 21 %, 8188 MiB, 1036 MiB
2025/07/01 20:33:29.010, 26 %, 21 %, 8188 MiB, 1036 MiB
2025/07/01 20:33:30.012, 26 %, 21 %, 8188 MiB, 1036 MiB
2025/07/01 20:33:31.013, 26 %, 21 %, 8188 MiB, 1036 MiB
2025/07/01 20:33:32.014, 26 %, 21 %, 8188 MiB, 1036 MiB
2025/07/01 20:33:33.015, 30 %, 22 %, 8188 MiB, 126 MiB
