timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2025/07/01 20:51:34.331, 0 %, 0 %, 8188 MiB, 9 MiB
2025/07/01 20:51:35.332, 97 %, 48 %, 8188 MiB, 1550 MiB
2025/07/01 20:51:36.333, 88 %, 28 %, 8188 MiB, 1274 MiB
2025/07/01 20:51:37.334, 98 %, 25 %, 8188 MiB, 1274 MiB
2025/07/01 20:51:38.334, 99 %, 25 %, 8188 MiB, 1274 MiB
2025/07/01 20:51:39.335, 98 %, 25 %, 8188 MiB, 1274 MiB
2025/07/01 20:51:40.336, 99 %, 25 %, 8188 MiB, 1274 MiB
2025/07/01 20:51:41.336, 99 %, 25 %, 8188 MiB, 1274 MiB
2025/07/01 20:51:42.337, 99 %, 25 %, 8188 MiB, 1274 MiB
2025/07/01 20:51:43.338, 99 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:51:44.339, 98 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:51:45.340, 99 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:51:46.342, 99 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:51:47.343, 99 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:51:48.344, 99 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:51:49.345, 99 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:51:50.355, 99 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:51:51.356, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:51:52.357, 99 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:51:53.358, 99 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:51:54.359, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:51:55.361, 98 %, 23 %, 8188 MiB, 1274 MiB
