timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2025/07/01 20:37:03.280, 0 %, 0 %, 8188 MiB, 9 MiB
2025/07/01 20:37:04.281, 0 %, 0 %, 8188 MiB, 9 MiB
2025/07/01 20:37:05.282, 39 %, 9 %, 8188 MiB, 1550 MiB
2025/07/01 20:37:06.283, 99 %, 17 %, 8188 MiB, 1550 MiB
2025/07/01 20:37:07.284, 99 %, 21 %, 8188 MiB, 1274 MiB
2025/07/01 20:37:08.285, 99 %, 22 %, 8188 MiB, 1274 MiB
2025/07/01 20:37:09.285, 99 %, 22 %, 8188 MiB, 1274 MiB
2025/07/01 20:37:10.286, 99 %, 22 %, 8188 MiB, 1274 MiB
2025/07/01 20:37:11.287, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:37:12.287, 99 %, 22 %, 8188 MiB, 1274 MiB
2025/07/01 20:37:13.288, 99 %, 22 %, 8188 MiB, 1274 MiB
2025/07/01 20:37:14.289, 99 %, 22 %, 8188 MiB, 1274 MiB
2025/07/01 20:37:15.290, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:37:16.290, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:37:17.291, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:37:18.292, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:37:19.293, 98 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:37:20.294, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:37:21.295, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:37:22.297, 98 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:37:23.298, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:37:24.299, 98 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:37:25.300, 98 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:37:26.301, 99 %, 23 %, 8188 MiB, 1274 MiB
